date,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,HOMICIDE,MOTOR VEHICLE THEFT,NARCOTICS,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,THEFT,WEAPONS VIOLATION
2014-04-27,43,153,37,1,70,2,21,78,9,21,2,130,4
2014-04-28,46,128,43,1,82,3,25,78,6,25,0,155,10
2014-04-29,71,124,51,4,67,1,19,81,9,15,3,177,5
2014-04-30,58,143,41,7,82,1,21,86,13,25,4,164,6
2014-05-01,58,142,39,6,65,1,23,105,10,25,9,177,5
2014-05-02,68,154,43,4,86,0,22,100,9,39,2,179,13
2014-05-03,48,159,37,7,81,1,27,61,8,29,3,154,16
2014-05-04,53,140,35,3,85,3,25,60,12,25,4,150,12
2014-05-05,47,146,28,2,87,1,22,103,5,26,3,201,7
2014-05-06,55,146,44,6,76,2,19,98,11,30,0,165,9
2014-05-07,50,144,61,2,64,0,21,95,8,25,2,160,12
2014-05-08,56,150,31,2,73,0,23,95,16,28,6,157,6
2014-05-09,49,176,39,4,94,2,29,103,14,9,3,178,10
2014-05-10,47,190,39,4,87,2,32,96,9,29,1,162,9
2014-05-11,48,213,31,3,79,1,16,49,8,22,4,142,16
2014-05-12,67,182,37,5,77,0,29,63,10,22,7,181,14
2014-05-13,49,141,53,3,75,0,18,86,7,34,2,187,11
2014-05-14,59,118,45,3,74,1,20,85,6,29,4,175,8
2014-05-15,57,121,46,2,63,0,17,96,8,27,0,161,8
2014-05-16,41,126,52,3,78,1,25,115,12,31,6,196,11
2014-05-17,53,156,37,6,96,2,19,86,9,33,7,164,9
2014-05-18,63,205,31,3,94,2,33,89,11,35,2,161,16
2014-05-19,56,135,39,4,86,2,20,84,10,22,3,173,12
2014-05-20,61,150,41,4,72,1,28,59,15,17,2,187,15
2014-05-21,66,169,35,1,90,1,25,83,4,20,2,184,10
2014-05-22,54,142,41,1,79,3,17,83,6,26,3,181,16
2014-05-23,49,141,46,4,110,1,27,76,8,19,1,189,15
2014-05-24,47,160,35,0,83,2,27,86,8,29,3,161,12
2014-05-25,59,201,34,5,119,1,30,73,11,33,4,140,13
2014-05-26,45,193,24,1,67,3,19,90,9,25,5,178,17
2014-05-27,45,134,44,4,80,1,19,84,3,26,3,172,3
2014-05-28,77,129,36,3,73,0,19,91,15,29,2,169,7
2014-05-29,41,142,36,1,86,4,14,83,12,38,2,174,10
2014-05-30,52,123,39,3,86,1,33,81,14,32,2,195,14
2014-05-31,49,176,28,4,99,2,30,82,14,21,3,199,18
2014-06-01,63,225,28,13,113,4,33,74,14,15,14,205,8
2014-06-02,61,151,50,3,85,1,24,95,10,22,0,205,8
2014-06-03,55,145,41,3,87,1,28,102,12,28,3,202,16
2014-06-04,64,136,33,1,68,1,22,86,7,27,5,174,9
